country,country_code,id,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,1,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Albania,ALB,2,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689
Arab World,ARB,3,389131555,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777,464684914
United Arab Emirates,ARE,4,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129
Argentina,ARG,5,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Australia,AUS,6,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540
Belgium,BEL,7,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814
Bangladesh,BGD,8,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
Brazil,BRA,9,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
Canada,CAN,10,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
Chile,CHL,11,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733
China,CHN,12,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
Germany,DEU,13,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985
Denmark,DNK,14,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
"Egypt, Arab Rep.",EGY,15,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103
Spain,ESP,16,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340
Ethiopia,ETH,17,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924
Finland,FIN,18,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106
France,FRA,19,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311
United Kingdom,GBR,20,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395
Ghana,GHA,21,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870
Greece,GRC,22,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919
Greenland,GRL,23,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661
Croatia,HRV,24,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600
Hungary,HUN,25,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048
India,IND,26,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
"Iran, Islamic Rep.",IRN,27,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570
Iraq,IRQ,28,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122
Italy,ITA,29,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425
Japan,JPN,30,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
Kuwait,KWT,31,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873
Mexico,MEX,32,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125
Malaysia,MYS,33,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221
Netherlands,NLD,34,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982
New Zealand,NZL,35,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100
Oman,OMN,36,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298
Pakistan,PAK,37,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862
Poland,POL,38,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749
"Korea, Dem. People's Rep.",PRK,39,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416
Qatar,QAT,40,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122
Russian Federation,RUS,41,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,144130482,144236933
Thailand,THA,42,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030
Uruguay,URY,43,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260,3422794
United States,USA,44,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557
South Africa,ZAF,45,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885
Zimbabwe,ZWE,46,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524,16320537
European Union,EUU,47,442496175,443601373,444570054,445515422,446215182,447001100,447367191,447692315,447178112,447370510
Ireland,IRL,48,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170
Jordan,JOR,49,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869
Kenya,KEN,50,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487
